1	19827
2	5335
3	2403
4	1446
5	947
6	693
7	498
8	356
9	320
10	258
11	204
12	164
13	144
14	111
15	122
16	87
17	86
18	79
19	72
20	58
21	62
22	53
23	44
24	45
25	46
26	37
27	45
28	28
29	40
30	23
31	19
32	19
33	26
34	22
35	22
36	28
37	21
38	25
39	26
40	16
41	17
42	20
43	19
44	16
45	12
46	9
47	8
48	12
49	14
50	14
51	10
52	9
53	11
54	10
55	9
56	8
57	13
58	9
59	5
60	10
61	10
62	4
63	3
64	6
65	5
66	5
67	9
68	8
69	4
70	3
71	8
72	2
73	8
74	6
75	8
76	4
77	4
78	1
79	3
80	4
81	1
82	5
83	4
84	3
85	3
86	4
87	2
88	5
89	3
90	5
91	1
92	2
93	1
94	2
95	1
96	2
97	1
98	2
99	4
100	2
101	3
102	8
103	2
104	1
105	1
106	3
108	1
109	3
110	6
111	2
112	3
113	5
114	2
115	1
117	3
118	5
119	3
120	1
121	1
122	2
123	1
124	2
125	3
126	2
129	2
130	5
131	2
133	3
135	2
136	2
137	4
138	1
139	2
141	2
142	3
143	1
147	2
148	4
150	2
151	1
152	3
153	1
154	1
155	1
156	1
157	2
158	1
159	1
160	5
161	3
163	2
164	2
166	1
167	1
170	1
171	1
173	1
174	1
175	1
176	1
177	3
178	1
179	1
182	1
184	1
186	1
187	1
191	2
193	1
197	2
198	2
199	1
201	1
203	1
204	1
205	1
208	1
209	1
213	5
214	2
219	1
220	2
222	1
224	1
225	1
226	1
227	1
228	1
229	1
231	1
233	1
234	1
237	1
239	1
240	1
241	1
242	1
250	2
251	1
253	1
256	1
265	1
268	1
269	1
270	1
278	1
280	1
286	1
288	1
290	1
293	1
299	1
300	1
302	1
309	1
311	1
313	1
317	1
319	1
320	1
326	1
328	1
331	1
335	1
353	1
354	1
355	1
359	1
362	1
365	1
373	1
374	1
378	1
381	1
412	1
419	1
426	1
427	1
429	1
432	1
435	1
437	1
439	1
448	1
455	1
456	1
469	1
480	1
491	2
499	2
513	1
514	1
529	1
548	1
567	1
593	1
616	1
643	1
649	1
650	1
668	1
671	1
675	1
681	1
701	1
715	2
789	1
799	1
802	1
810	1
833	1
872	1
875	1
922	1
959	1
1026	1
1115	1
1156	1
1174	1
1201	1
1206	1
1234	1
1250	1
1373	1
1506	1
1685	1
1742	1
1832	1
2030	1
2092	1
2217	1
2416	1
2477	1
2685	1
2770	1
2971	1
2980	1
3064	1
4732	1
4871	1
5896	1
6687	1
8160	1
13676	1
